,CountryName,Year,Value,CountryCode,hash
139.1973,Mauritius,1973,31.36506,139,26160d
140.1973,Malawi,1973,5.95625,140,0ce65b
142.1973,North America,1973,67.5342865,142,247ce5
145.1973,Niger,1973,0.73175,145,6687e1
146.1973,Nigeria,1973,4.11547,146,9742d0
147.1973,Nicaragua,1973,18.56663,147,481264
148.1973,Netherlands,1973,75.62094,148,fb61c8
149.1973,Norway,1973,90.09434,149,988455
150.1973,Nepal,1973,3.69612,150,0e1d58
151.1973,New Zealand,1973,78.71823,151,a2238e
152.1973,Oman,1973,0.0783,152,c14c36
153.1973,Pakistan,1973,7.41925,153,82d220
154.1973,Panama,1973,49.95631,154,1e36b3
159.1973,Poland,1973,77.24662,159,5ff03b
162.1973,Portugal,1973,39.55271,162,a49519
163.1973,Paraguay,1973,17.87585,163,71a452
164.1973,Pacific island small states,1973,54.20698166,164,ebe9cb
166.1973,Qatar,1973,39.06608,166,83ef3e
167.1973,Romania,1973,70.92982,167,d6b897
170.1973,South Asia,1973,14.21790028,170,edef51
176.1973,Sierra Leone,1973,6.71539,176,50df2d
177.1973,El Salvador,1973,20.47554,177,259a6e
179.1973,Somalia,1973,1.63932,179,4dfdf1
183.1973,Suriname,1973,46.36307,183,b17fc6
186.1973,Sweden,1973,86.32809,186,72ddd2
187.1973,Swaziland,1973,20.09068,187,c985df
189.1973,Seychelles,1973,39.44106,189,3d2d7b
190.1973,Syrian Arab Republic,1973,22.83751,190,48a9fd
193.1973,Togo,1973,4.40185,193,30949d
194.1973,Thailand,1973,17.4078,194,a2b7c1
198.1973,Tonga,1973,80.84261,198,e8a123
199.1973,Trinidad and Tobago,1973,45.25281,199,4d206a
200.1973,Tunisia,1973,13.23412,200,edf404
201.1973,Turkey,1973,16.85567,201,d7153e
203.1973,Tanzania,1973,1.57862,203,7e380b
206.1973,Uruguay,1973,68.72233,206,66b989
210.1973,"Venezuela, RB",1973,42.48944,210,6cba5d
213.1973,Vanuatu,1973,5.94142,213,d16ad2
218.1973,"Congo, Dem. Rep.",1973,5.95464,218,7c927d
220.1973,Zimbabwe,1973,6.70686,220,5922f5
2.1974,Andorra,1974,21.46341,2,9d3bd1
3.1974,Afghanistan,1974,2.64691,3,c69153
6.1974,United Arab Emirates,1974,15.92211,6,d115b8
7.1974,Argentina,1974,55.15694,7,354bf9
10.1974,Antigua and Barbuda,1974,85.85956,10,530670
14.1974,Burundi,1974,0.99314,14,461758
15.1974,Belgium,1974,82.1317,15,5cb4c9
16.1974,Benin,1974,4.3553,16,373616
17.1974,Burkina Faso,1974,0.98817,17,e71b56
19.1974,Bulgaria,1974,94.00493,19,5c7772
20.1974,Bahrain,1974,53.32881,20,3ae11c
23.1974,Belarus,1974,91.78329,23,027a12
25.1974,Bermuda,1974,86.1478,25,027ed3
28.1974,Barbados,1974,76.17832,28,93409a
29.1974,Brunei Darussalam,1974,55.61952,29,d1a713
30.1974,Bhutan,1974,0.99838,30,bb2254
31.1974,Botswana,1974,13.16739,31,180c89
33.1974,Canada,1974,92.28327,33,cd6a7b
36.1974,Chile,1974,60.32865,36,349507
38.1974,Cote d'Ivoire,1974,5.59575,38,58f76a
39.1974,Cameroon,1974,6.80751,39,73a7dd
40.1974,"Congo, Rep.",1974,23.60354,40,c0faa9
41.1974,Colombia,1974,37.05565,41,2f7373
44.1974,Costa Rica,1974,42.63064,44,1bf429
45.1974,Cuba,1974,28.36465,45,c484b1
48.1974,Cyprus,1974,65.14949,48,852add
49.1974,Czech Republic,1974,87.25084,49,1fef42
51.1974,Djibouti,1974,4.3279,51,60a8b0
52.1974,Dominica,1974,89.99334,52,bc1cd4
55.1974,Algeria,1974,9.29236,55,bd6acc
56.1974,Ecuador,1974,31.33357,56,09f199
57.1974,"Egypt, Arab Rep.",1974,23.57197,57,ff11f8
58.1974,Euro area,1974,80.09351349,58,a356c2
60.1974,Spain,1974,59.04906,60,20a8df
62.1974,Ethiopia,1974,2.72168,62,3d91f7
63.1974,Finland,1974,112.85034,63,c909b1
64.1974,Fiji,1974,63.6024,64,bbb7ef
65.1974,France,1974,85.58636,65,e3772a
67.1974,"Micronesia, Fed. Sts.",1974,150.46664,67,03e386
68.1974,Gabon,1974,15.09864,68,a06dcd
69.1974,United Kingdom,1974,81.49118,69,976912
71.1974,Ghana,1974,29.96272,71,317dba
73.1974,"Gambia, The",1974,5.32921,73,541212
76.1974,Greece,1974,63.96531,76,4902a4
79.1974,Guatemala,1974,10.58341,79,11760e
81.1974,Guyana,1974,69.58363,81,bc88a2
82.1974,"Hong Kong SAR, China",1974,39.21591,82,85a72d
86.1974,Hungary,1974,69.10024,86,f14e46
87.1974,Indonesia,1974,14.73599,87,35536a
90.1974,Ireland,1974,85.42484,90,eb2131
91.1974,"Iran, Islamic Rep.",1974,28.41152,91,e3f25e
92.1974,Iraq,1974,17.97128,92,1aed9e
94.1974,Israel,1974,79.80398,94,4c197d
95.1974,Italy,1974,62.58397,95,ad79ef
96.1974,Jamaica,1974,49.80138,96,5eedd6
97.1974,Jordan,1974,42.88638,97,674027
98.1974,Japan,1974,91.90194,98,fcf29f
100.1974,Kenya,1974,14.39379,100,a84f56
103.1974,Kiribati,1974,12.83502,103,3f57ad
105.1974,"Korea, Rep.",1974,41.56925,105,89088f
107.1974,Kuwait,1974,52.95643,107,93295b
111.1974,Libya,1974,20.44727,111,55949d
117.1974,Luxembourg,1974,47.688,117,507672
119.1974,"Macao SAR, China",1974,27.43537,119,eec526
121.1974,Morocco,1974,7.9543,121,32e087
124.1974,Madagascar,1974,9.24375,124,f92bcb
126.1974,Mexico,1974,22.66446,126,41937b
128.1974,Middle income,1974,29.67259026,128,bf919c
130.1974,Mali,1974,2.90831,130,daa6a4
131.1974,Malta,1974,55.58954,131,1a591a
